complex_id,source,protein_hash,length_aa
PAIR:d0fd5bcc8c056ac828495017302774e2e857fc03f8388bd9a041efcd2ed95310,NPInter binding-site,5f87bc1f67cbb22195abcb4b9134c3bff70c5474369e26fcd2a2b2a1dc102b23,390
PAIR:beaed787f3b32ad1fdade0930ceac99b27c1b561166043b73af8d9e8cc27436b,NPInter 主表,4a254ab17fd6e25c6ef061a6a774d2f2083dc87d233eddcad9727fd306e733c0,526
PAIR:568f81c53128c702c66a8873a7e2cf0e01c89e6425943ef693224bfcad84ed17,NPInter 主表,7c8352f9f46d61a04e6bd6e3177d082eb2f5beef0c88831d9739d8aeafab1085,477
PAIR:48cc6ead8814083559f3bf6f18e1bb552fbf208552f27980c3e14d94183e10a2,NPInter binding-site,0472f1c5d0009e840b47541564d7889ed2461d4f06ea85258ecc0e027c476537,247
PAIR:b9253d6cb00b1080b2c56a61f694dd804d1346ad925182190ba414d29465dfe7,NPInter binding-site,0398f25f8a0f4a4191727351d2fd54d124020728f209a603d3dfc039e2b3299d,352
PAIR:34ae177848ca99369395e10ea7412a3f4c1bac774e241d494703c6164567fa25,NPInter binding-site,72d8d68f6efa5b8d5ade4b8102589c310eaa34c382913d2db4228f2fac459841,1246
PAIR:c92768b57389f5c4bf2af4ff6a1d809ecab5c83cc7d79defff3f3e8952f945b4,NPInter 主表,54f637b916b4bc99b3da957f0029f5302a0a404becdc855712e13eaf50083901,353
PAIR:7256173c0270a69cefebad9a9024a5c19390a75de52bd020ced72514fe29d7f3,NPInter 主表,0ac226c1624f0a1afc89ff3f2dcac364bc6a7716762d362dcfdc01538e620eb7,240
PAIR:b9d63e49cd26c1a392429f89764beae85a02fd8694315b1ac38efd24182595c6,NPInter binding-site,222a9960cf85935bce6e7f986912eaed6d69230a47a3118ff19298fef1c39d92,372
PAIR:9b737ffa8b708ac6ee6a601dfefa3c662896434fe2ec5276cef97f840a10352b,NPInter binding-site,66f0c984b23f5b0d97e0e41f06e9e208e27b165f4936f1b79097098969e384de,730
PAIR:1d434c25053fe6df8649c164f1f0387dd08040fe6fdc41b8afa84849e2bd4038,NPInter binding-site,3c29fa43d6ac2c990693312bc28d6262fa6244a10431e7277ae5201e25b1bab4,414
PAIR:3a8b5630d66309c6fce639ccb93ac9aa7628496f0501abce3c716f3d8666726a,NPInter 主表,df365308c4ad893dc5c4da54a79349e16c11f8c1194b238e0a16b4d544802073,282
PAIR:5791c3a0a0d1bf01fd910afd5fb76f5d6dcb10620c8552cee821c0bbd4626756,NPInter binding-site,b51a922f8f9c876d9381e7a3cbb16d49cc75455ec648a608a5ff253a6c40e1cd,621
PAIR:8829c88f87e31947ce04eba8918e123bbd3306562e07268431698f586c1ff119,NPInter binding-site,7b11c5b47807fe00f4c20f0290106bb7382782c304c71d5f842906617a1216b0,321
PAIR:b67dbb8b168e16d3d75edab42d349786c35e9074d0d107057dbe21c543e37ccc,NPInter binding-site,3cf8129cb620c63bbdeb97d01bd5d2e33702c0395ad382e1b92fadebc9cd2017,1336
PAIR:c30cba00e0da7d100dd38df1600ff7a0e2cda7a30450c669e4b7e73f74b1f50d,NPInter binding-site,f4851453d4de4ed2f0aea46c1a82752be0139b026f62c7aa7875fff0028414d6,953
PAIR:1a871d579d20e801ddfd9e63deb3daedc4982b3780061f3d171718e7324a5edb,NPInter binding-site,b7b1f0c8befd3b79a2858fab25ea2b1896747cd28b13edc88a13969b60adfe9e,711
PAIR:3f2410e214dbcf3aa30c1c4354b0a30f7ef851de241ba13db2263e9ae0ff8383,NPInter binding-site,8318428ca976096305d8c371a32fcd21c57a39f94e0e0a80278bda9c1b56a9a6,950
PAIR:cbabc1b960170693fff40bd8765b6a5330ce366e265323c62c225af413ad9f28,NPInter binding-site,f4851453d4de4ed2f0aea46c1a82752be0139b026f62c7aa7875fff0028414d6,953
PAIR:2cd6d4736c745a31b1fb2d968e3801e0f453f1062e599c7c8d698971c188ff08,NPInter 主表,75078f3a53de34edd93133af165bd3d5246d26dddb31ce2037c8b11ac97791bf,248
PAIR:e888a0dc86cc666853164c1d730371c56ab5f5e828610271b32eb5331827ea7b,NPInter binding-site,6fdde755cd85ee77cc362fbc3aec77de2241b8a5ab87def53d424a3f115071c8,710
PAIR:8fe4eaff155ab2e580cf0c74ebe0abdc52ff4b2e1706f64d79e2ddebb6b38035,NPInter binding-site,78f16cac6a9641581d50061699f49acbea1d226148bf544f24a63c74bb63051a,156
PAIR:44e1f8063defc734d6418ba8852322b4485a6977c458fdabaa5770b3d1cab023,NPInter binding-site,fc75f7cb2ed941132d79a51facf7221bbbd9258007a7f94092b893d6d67ece64,386
PAIR:3e5149c662a8fec8716051f36aec880b97ee2ff8e0e78198a6254c434edfd9ab,NPInter binding-site,b85d7e4ff7db6cd0b25d7a9571aad34875a1fd0bb855943a32b5b65aaece7880,548
PAIR:011f7a03f4b51b2c4c61a81265604afc56f2a98715d4ab97b8dff3cb98460e1f,NPInter binding-site,d53e700e6d239ae8af9ea767b63311bbf6d773032026a1c967246d1f4e663c8b,1129
PAIR:cbf01736921324496149c7754e955eaf1a390d3db47f0da5297700049ea66509,NPInter 主表,ecf13ad40af491ee1209209f3f8287ff311ffbeed5c44696e5cf5c4a0ec54423,609
PAIR:217a73beb42c66a080ef25d80b99c482ced7a91ade3d515bd77cd2b1b86aed74,NPInter binding-site,72d8d68f6efa5b8d5ade4b8102589c310eaa34c382913d2db4228f2fac459841,1246
PAIR:3d0d0011005cd58cf019b88c272adbfd488da883ee33989113496de0afb4f50f,NPInter binding-site,aab0c76ff7fdae28f6d15b03443a997f6fbc7bc2c273a07a5fef73bf60c1910f,557
PAIR:a2abb1f2ece5b3aba3c19580b3d902f5677cfe663a1831c75cf92f4c08d11777,NPInter binding-site,3cf8129cb620c63bbdeb97d01bd5d2e33702c0395ad382e1b92fadebc9cd2017,1336
PAIR:1932ff09aac330751446719e38dc25e32112805c8423e40a69655883b52b69d9,NPInter 主表,8318428ca976096305d8c371a32fcd21c57a39f94e0e0a80278bda9c1b56a9a6,950
PAIR:96030833ada170823f7d55dfe57b8964565b5faf5d8014b5c2f94862374c6706,NPInter 主表,1a37f30b16ef926b7496e470dd630772a646849fba314d39472697d9706c0dce,480
PAIR:0db804ea3d03a5ea539cf68ba08eeacc112ccddf5e2b1d685522fef7182948b0,NPInter binding-site,690f21b5d2f5b9dc5de2910209539bb666ac95e7d1ddad0905a2b5fa900bcb24,1009
PDB:4ZDO,RCSB PDB,ba6163a97fb3e37b8ade68bcb5c6b0cfc712068f4b8a882e21c70770100c3b4a,501
PAIR:0a7eba0ac9f84b541679b468aca4ffdb82623b2423328e10df31ea3dea672871,NPInter binding-site,3cf8129cb620c63bbdeb97d01bd5d2e33702c0395ad382e1b92fadebc9cd2017,1336
PAIR:e43eddb292bb1fadd32adda334082885c61e7c4b9b36a95cb55dbfae20204541,NPInter binding-site,d53e700e6d239ae8af9ea767b63311bbf6d773032026a1c967246d1f4e663c8b,1129
PAIR:e52c548f35875c7ee171498d78931fe010a3f69f1ee25ff27370c9f0ba4c4f0a,NPInter binding-site,3c29fa43d6ac2c990693312bc28d6262fa6244a10431e7277ae5201e25b1bab4,414
PAIR:d4a303ec7470e957593c2f18e5d21e3a7e310143705bf2122c85eafcdf7a0daf,NPInter 主表,3c29fa43d6ac2c990693312bc28d6262fa6244a10431e7277ae5201e25b1bab4,414
PDB:8H7Q,RCSB PDB,ce8e0eda8861d836205ffcdb5dc13d65be2a6625eb4759dca398414ee94ac2de,301
PDB:8H7Q,RCSB PDB,800eeba4078cdffe8cd5259ef9aea5cd8cb2b6fdb17ef758526f4ceb19aee9a6,237
PAIR:6d17a14c1b77dfa833837c397253868a11304c88ff43f7eeaabc48d4d79b7007,NPInter binding-site,404b4e7b1d0ed17cd02850d67a59d3574c9a4cd962d7faa23a4b2b15937f5c5c,773
PAIR:a40c8f739fe9b39398c27a175f3e528e4528aeff77b26dcfd7f2ebf4555e0d9a,NPInter binding-site,3c29fa43d6ac2c990693312bc28d6262fa6244a10431e7277ae5201e25b1bab4,414
PAIR:825717b63f9dd6303097c6b3ac775b1a7aff323833854596b6bd4205a8f8b5a7,NPInter 主表,fe2f58ab5c0d00d21d306407b7b4272c66dcc1e9ad8ed24c8afdd3d8fef67482,619
PAIR:c83f1da6805b0a1a141b57897f0afc7cd72e67366f1acafb0a1f0a30e26d0f42,NPInter binding-site,0398f25f8a0f4a4191727351d2fd54d124020728f209a603d3dfc039e2b3299d,352
PAIR:fc3fa350b5f894229416e09252ab1eca6773f175605908e23e489eaa2f9f23ca,NPInter 主表,75078f3a53de34edd93133af165bd3d5246d26dddb31ce2037c8b11ac97791bf,248
PAIR:f7d79aba5e324ed3430721dbbc969b6ca4223663d5822370adf03b63b98c0526,NPInter 主表,7b11c5b47807fe00f4c20f0290106bb7382782c304c71d5f842906617a1216b0,321
PAIR:fddb1e646cf117f0b6395330804a9bd06c360ea081f9358fc7f1587f778fe06f,NPInter binding-site,0dc9f286fbf1368a5715f64d7fbe78ef12fafb76a89363f840ef946f61050f8f,616
PAIR:d56fe2ed9d08b3601b4369c4131b978a0ea71610683988163a4ad0eacf97c7db,NPInter binding-site,66f0c984b23f5b0d97e0e41f06e9e208e27b165f4936f1b79097098969e384de,730
PAIR:a100e157fc267c688196b035accc1c526367f3dd7c6cd494487252bc49570288,NPInter binding-site,3cf8129cb620c63bbdeb97d01bd5d2e33702c0395ad382e1b92fadebc9cd2017,1336
PAIR:b4c8761aa72f93d8fd31568bda634add2e8ccfe972b67910768692f4fab946f4,NPInter binding-site,4a254ab17fd6e25c6ef061a6a774d2f2083dc87d233eddcad9727fd306e733c0,526
PAIR:cf0a6ed32cc01091be9d940ebecde43a23fc284dd4eb4549c10763917700b5bc,NPInter binding-site,7b11c5b47807fe00f4c20f0290106bb7382782c304c71d5f842906617a1216b0,321
PAIR:b8e22c0dc6d1edcfd03746a2bac74934750ad4597038a9db2fc0f73d363f1128,NPInter 主表,c4825fecc4bc380e5bce3a3e3e9e00e83acbca438fbf1428a50d5b8fbd77cbb7,599
PAIR:527f9314ca6daa69eefa6f057858fde54f2e918a246598897c812cc7295feb37,NPInter binding-site,a5eb2a05bcffda742112224769a5500aa6d81f8494ecef83da7d02966049517f,551
PAIR:0fc14e5eb3a16da1448f39219776ccbb87b5db241c91eb629c3320b861fc4007,NPInter binding-site,5027cd79ae00ec6b79cc187bc13d95a3f0abbf588e16a2765db0009366148c92,314
PAIR:1a1dd626a3c015235f4f659c4aa99913ab5fe5790a1a9cb3063e4fcaa45d666c,NPInter binding-site,bdde991a41ffa7f13aa88d9a8f16475198456ef2041a1b43efcdda931ef61269,825
PAIR:9e41b3e69c7398240d8145f285729921788282f8055f5635cef4f144b27eed30,NPInter binding-site,f4773c1f8040890d506a167b70759e2a084bbfa1c1606db2ba105c4878e4c798,579
PAIR:670b9e7a369b1ccf6dee61227bd28a9285ad8a67e38a13ff7c70151dcec84bf5,NPInter binding-site,54f637b916b4bc99b3da957f0029f5302a0a404becdc855712e13eaf50083901,353
PAIR:6e19df6dc32c3d4d1b6723bfdb67d68e195726078b392946d3e73532b05bcb28,NPInter binding-site,e295146d6988d3c1648023ff523b8c0f0979e2088ebf7a8b266bdcb2193f6ad2,810
PAIR:dc2c9a143e95807dc52ce6d0921b17d3370dc73939b7d56d94c7150b904f482f,NPInter binding-site,a5745e83e4188b1293df15ae00232356e8da907a01516acd93bdab43e5479109,353
PAIR:1b6f8694faa09236f6f5ce809e885252659f7ecdf3f6b577a7497c99834de6ad,NPInter binding-site,27de9ad3831d4b8712fea8c5edcf7f89de9b16d915e147994419b6874c948f88,386
PAIR:4fa8f7d4730d7a4e566cb3d3393b3c390373fbe07933436219ea0d777c186df0,NPInter binding-site,bdde991a41ffa7f13aa88d9a8f16475198456ef2041a1b43efcdda931ef61269,825
PAIR:85645a3b21764f762fd3f34b92a9940080e91988822b30429f91e5cd08483218,NPInter binding-site,9e62ed7fce0b01304350ed65fe685158bd77a0e9365e63398834a250c6394d1e,577
PAIR:cbc160ef12eaeca8290c2acb26e97dc706494d2ddd0a8651de2e194244daa090,NPInter binding-site,3cf8129cb620c63bbdeb97d01bd5d2e33702c0395ad382e1b92fadebc9cd2017,1336
PAIR:95869f98a32e6d1e95622f8e51224f103988b7cb18e268aa0cd3abd096738aa2,NPInter binding-site,4a254ab17fd6e25c6ef061a6a774d2f2083dc87d233eddcad9727fd306e733c0,526
PAIR:8978e9c4e4215a6ea5a78e92989624c12cd7877c2e85a8be63db38494004912b,NPInter 主表,c9c62f6c94abd2acf75c022e43fd489bb14d2e6652fa08c0ee4d1586e39de797,355
PAIR:2f6d0a9df748c14a5da6214a7997de01682237fbf852716b00ef8d4cd304b9a3,NPInter binding-site,b7b1f0c8befd3b79a2858fab25ea2b1896747cd28b13edc88a13969b60adfe9e,711
PAIR:2665c62c81b64e3805334ec84231ac22cfbbcb280cab86063f0edf29cb438f6a,NPInter binding-site,d19abb85e8efab173b20be101ab23c595b62aa06850b2ee738002ed7111eba69,365
PAIR:66b61bea3a5be2d9014d98f9fc76dfa62ff739b4710f4b6b12d2016db4ca2851,NPInter 主表,3cf8129cb620c63bbdeb97d01bd5d2e33702c0395ad382e1b92fadebc9cd2017,1336
PAIR:a227151cfbb070a03174ff4a9562f66f8ddb496abf98fed89dba4e5f3feb35dc,NPInter binding-site,72d8d68f6efa5b8d5ade4b8102589c310eaa34c382913d2db4228f2fac459841,1246
PAIR:ad155af493f3b9da041425a4824831739ad78e1ac7dddc37a44b4887c3b14cf6,NPInter binding-site,ce37d1d34d5c2df006d805a55259214093d9a4756e425044d49c03d4d3763d59,373
PAIR:a48b26ea15d697cd693318e843f63217b3e341a3b00a2af334a61c1867a1601a,NPInter 主表,d19abb85e8efab173b20be101ab23c595b62aa06850b2ee738002ed7111eba69,365
PAIR:f433314311256f7378610631e31012e34d2937f6c5bb43fe6cc18ba9b4ee32ea,NPInter binding-site,f4851453d4de4ed2f0aea46c1a82752be0139b026f62c7aa7875fff0028414d6,953
PAIR:1856fec3e600a6055c14c5b7b2f9d881d993662d3fd2c43805a309d62756d7cd,NPInter binding-site,f4851453d4de4ed2f0aea46c1a82752be0139b026f62c7aa7875fff0028414d6,953
PAIR:b19069008c25e168b341b5c8f6e4bf4a7b4fe3f597bc49a98d677628572bda06,NPInter binding-site,8318428ca976096305d8c371a32fcd21c57a39f94e0e0a80278bda9c1b56a9a6,950
PAIR:bb1ae1c4820de50bf23c8a6b33e3a1b8d85a38ed8f41002941114f65a5deaaf3,NPInter binding-site,5ed5e735763d5ee7295541f32f24266389d5d3ccf7a723fb61bf4a407a7e62fa,707
PAIR:3b4b34aeb52068d14886858a70d6e41199347fea9d37aa13fc78d82b92b99608,NPInter binding-site,471e95563918082caec3b5cd193f78c72a43ca7535721f27e3f371d0ff5454a1,1374
PAIR:97bac32b8f6827d9cba9cd3bb0f1a07bb367876a257ce4b2d46ce19a7c435a2c,NPInter binding-site,d53e700e6d239ae8af9ea767b63311bbf6d773032026a1c967246d1f4e663c8b,1129
PAIR:4f91cc90d49471dcd503322e922a3fa080a9b403ca8868e6a1f4117bd108fc4d,NPInter binding-site,098f61e386b868d4c07b9c7abe66aa22c3eaea7e9757060671eeb0aa43254b15,857
PAIR:1e42bffa9929d4bade278a884f07c8a9621e133ce3019f57551d10a11028450e,NPInter binding-site,8dd0eaafb1588d422d6113363e4c679f879a6a704fe04dc44b98b1636a19ce2b,531
PAIR:ce4a28f7963d3e8e63c85182c0f827598d75d9ec6efde1d1e55a3fe4a5ae5672,NPInter 主表,54f637b916b4bc99b3da957f0029f5302a0a404becdc855712e13eaf50083901,353
PAIR:089036dad411e44277a6a21c834894c805d205c86626793c88b1c73d97657cd6,NPInter binding-site,3c29fa43d6ac2c990693312bc28d6262fa6244a10431e7277ae5201e25b1bab4,414
PAIR:8e0cbeb51d2a1e75e8de4521c17a4e9e698c73f287ace0ad54a481ea320a5d3d,NPInter 主表,3cf8129cb620c63bbdeb97d01bd5d2e33702c0395ad382e1b92fadebc9cd2017,1336
PAIR:ca9c99a398195dcde7bddf4a5f913e70ec6d0054dc1a7a67529a4e936efa086f,NPInter 主表,bc904fc3b8a39be8105a3bfbea7e9c2ca486f01ca4bf9684c16aefdf6a88648c,517
PAIR:19319e1aea2d6bdb64bbd82616128b989d362671846a70979ed2405f9b08d3d7,NPInter 主表,e7b83e519ef6ca16d07cd477eb8474f8141c4f70b20f0ecabce334a03fa13b6b,589
PAIR:1891016a664f1d38799fc20e30b39a240dbeb3c7ce8ddc8e208829ab11b0c0ca,NPInter binding-site,6fdde755cd85ee77cc362fbc3aec77de2241b8a5ab87def53d424a3f115071c8,710
PDB:2J0Q,RCSB PDB,692cc3e52e0504bd054cd95106f1b9fdafde7b922094a1195c42ecad74f4c232,410
PDB:2J0Q,RCSB PDB,bf5660d411d27b6315cb488ce98104e591807d448fd99fc944e2c773e8f758e6,150
PAIR:3baaaac4d0301357480f4696819431a6ac07fa5f38252c7a1841394fc318d153,NPInter binding-site,83fff9e7321f503d1218bfc29e477268abb7de30e56a53a10ba3cf805b2fae6b,815
PAIR:53b9ca7106a941e9b8069ca0e42ee8285ef08dc82861d8145551d9cd40570338,NPInter 主表,77f7198048a5553899c0174d2127b6bd97db77da1a66f745e8f05adfbad8541d,1133
PAIR:0b7cee743d3a4e8a463b828b7a57f4df0cb43a3e9e5f20e59d6138bbf8d3915e,NPInter binding-site,e442055eb19ec012a61b997be429d4b1a165fb5610b4e4564c3884fa8e80314d,372
PAIR:752eb2cbbf565caf7a5e8270dab543cfd9fc9d538840540c06a0641b4daf7686,NPInter binding-site,d53e700e6d239ae8af9ea767b63311bbf6d773032026a1c967246d1f4e663c8b,1129
PAIR:e50358e16afeae46bed476c18c7f1c4be87f86286276119f951dfc2bdd42d7a8,NPInter binding-site,3c29fa43d6ac2c990693312bc28d6262fa6244a10431e7277ae5201e25b1bab4,414
PAIR:05ddca361b459daba4b6e4de9a115ef6507a8c48482652479de07b1994125161,NPInter binding-site,1de29d2a5450b57954d6324ba900569207a68bcd2f7c3e2e316ea1be2b8efac2,360
PAIR:9d904d620dce9f359eb5940ed2fa896b579638b6dd09e2c8a84c07024aa9e2b4,NPInter 主表,3cf8129cb620c63bbdeb97d01bd5d2e33702c0395ad382e1b92fadebc9cd2017,1336
PAIR:0800b91cc19f80d2ec5ae3d070a1c3041748050d46588ed50c5882932c655c9d,NPInter binding-site,d53e700e6d239ae8af9ea767b63311bbf6d773032026a1c967246d1f4e663c8b,1129
PAIR:e72cc9a2bcc89ba3fdb0d5a9f8197c7b66d50daedfe58ce23f66873fcf4e9878,NPInter binding-site,88d61a0a529c2068e1b73f4bb1fb0a3b421b3c0f3994bb48b667fd23471202a4,856
PAIR:580ac051c9629d081b57998a696dcf5dd739cf391ac8726940c45ec349b6c63d,NPInter binding-site,e9dfe3add14d17a938d9a42fa9356ddc680181c6d3029b216f9a4577c92b8cb4,577
PAIR:ec1c04c180a355c18df5b869c78b6f3c5b5b4e887e5d17316d084e5838cd6023,NPInter 主表,cbe15fc80b0634f84d7299fa370a329e37024ef5afa603899deab1483df850ca,238
PAIR:a0d411da5ffded62ba1b106d4de8010d749bf99a8e3cfa25a978b5e6bdb0806f,NPInter binding-site,d53e700e6d239ae8af9ea767b63311bbf6d773032026a1c967246d1f4e663c8b,1129
PAIR:d1c74e386d056e9dc4db7c4881a0711fc750e8254779f66d004ecae1087b0885,NPInter binding-site,d53e700e6d239ae8af9ea767b63311bbf6d773032026a1c967246d1f4e663c8b,1129
PAIR:d852750de79590b46cf2fb43e2e83c8e167071b5df025648ef049d1492b81b11,NPInter binding-site,3c29fa43d6ac2c990693312bc28d6262fa6244a10431e7277ae5201e25b1bab4,414
PAIR:da726622e684b97d77f4755d67d6d805b09eac9b94c06e842ac865ec476c6e5f,NPInter 主表,3f9af6907ab151112248497b3aad251d993cc9c76a2ff8a6b5c7bdaacadba840,341
PAIR:bef7eee211e10a65ec09bb1201665dea8ce87f4090e046b0e45d5cdc79e1f01e,NPInter binding-site,3c29fa43d6ac2c990693312bc28d6262fa6244a10431e7277ae5201e25b1bab4,414
PAIR:ad2ab07710e84bdf45bab0cff573ec405dd7846cd00b4487a0058abcc1b1865f,NPInter binding-site,471e95563918082caec3b5cd193f78c72a43ca7535721f27e3f371d0ff5454a1,1374
PAIR:12094e1be7cd8f7afbc9a05ca4144a0d9baf2b8cfd237e1cc7890ccd2cb9bf81,NPInter binding-site,5ed5e735763d5ee7295541f32f24266389d5d3ccf7a723fb61bf4a407a7e62fa,707
PAIR:5f7e49780430a79e76e0046ab1ae1ccc8fddf7b4dd62a6fea23276bc7b2fff29,NPInter 主表,3c29fa43d6ac2c990693312bc28d6262fa6244a10431e7277ae5201e25b1bab4,414
PAIR:b99a31f6e46682a06c5d514772f5324b753d6aa740640d8b1d61daccf686e137,NPInter binding-site,3c29fa43d6ac2c990693312bc28d6262fa6244a10431e7277ae5201e25b1bab4,414
PAIR:343216dd8eeff251f69f91da2df5813f0ca78dacc59c3d1c62bfaf11077a0adc,NPInter 主表,75078f3a53de34edd93133af165bd3d5246d26dddb31ce2037c8b11ac97791bf,248
PAIR:78caffbf069016ec1c1765b773d9dd0e3107a3fed2a549e367ddf72d46006861,NPInter 主表,4a254ab17fd6e25c6ef061a6a774d2f2083dc87d233eddcad9727fd306e733c0,526
PAIR:abd2090914f8b91098550d6e2bf84e5089c2cdda37a24b71669740b3b0b620a2,NPInter 主表,54f637b916b4bc99b3da957f0029f5302a0a404becdc855712e13eaf50083901,353
PAIR:1ec04f537c5850fe16a3ff0689ba7ed11b8d565a021d2cef9e662bbbc4146fa1,NPInter binding-site,3c29fa43d6ac2c990693312bc28d6262fa6244a10431e7277ae5201e25b1bab4,414
PAIR:51007a14acf66e21df7dec1ab119d900b35cb449ae42afec9d5d35a7bc7306b3,NPInter binding-site,a5745e83e4188b1293df15ae00232356e8da907a01516acd93bdab43e5479109,353
PAIR:804ee59d9f6202395da84b524ed39a7c5fcbf88df97c1864ecd87d2024723d76,NPInter binding-site,72d8d68f6efa5b8d5ade4b8102589c310eaa34c382913d2db4228f2fac459841,1246
PAIR:2f4bc224cfca5963bd2849bc4002eac5291ba690372248be727aafa59f81c0e6,NPInter binding-site,3cf8129cb620c63bbdeb97d01bd5d2e33702c0395ad382e1b92fadebc9cd2017,1336
PAIR:28323f893ddc733c2eef486d04394862ffe1df40c82d2610a645ba5f2675260e,NPInter 主表,7b11c5b47807fe00f4c20f0290106bb7382782c304c71d5f842906617a1216b0,321
PAIR:a64f883777483cfc9fa694b0e11ded8a4f56133a1d3cd8dd0e41ebc34ba8c228,NPInter miRNA,2499595259fe846326edcec2c21b7dc3585c72e3573f1ed320bcc4a9af0c8bad,257
PAIR:71ecc35553180f6e592d42a5f1384a698c183eb601797411fa569aac6e82451a,NPInter 主表,a5745e83e4188b1293df15ae00232356e8da907a01516acd93bdab43e5479109,353
PAIR:12f4e05e64c49ada257155f6d5fea7be93df526e91fe6851edbe41bcc224b1b9,NPInter binding-site,72d8d68f6efa5b8d5ade4b8102589c310eaa34c382913d2db4228f2fac459841,1246
PAIR:0bbcd34079619f2537d3fd860038cdbd78cf30473d881d9a26db7790d6e8307e,NPInter binding-site,a5745e83e4188b1293df15ae00232356e8da907a01516acd93bdab43e5479109,353
PAIR:1a041b96d9f0686ec01567ad433f06058108fa33e0f327d2499f3c8498532161,NPInter binding-site,75078f3a53de34edd93133af165bd3d5246d26dddb31ce2037c8b11ac97791bf,248
PAIR:75e24c5e58b3c16a4cbfa32f65b9c28973b6f0be91af4741497005a8d13a4a2d,NPInter binding-site,27de9ad3831d4b8712fea8c5edcf7f89de9b16d915e147994419b6874c948f88,386
PAIR:4a0fc0c59f4e216fcd0a154b816eff4661414d1a06e6a6c19f1c27f440649b9b,NPInter 主表,1de29d2a5450b57954d6324ba900569207a68bcd2f7c3e2e316ea1be2b8efac2,360
