rank,protein_hash,protein_name,protein_accession,protein_length_aa,complex_count,source_count,NPInter 主表,NPInter binding-site,NPInter miRNA,RCSB PDB
65,690f21b5d2f5b9dc5de2910209539bb666ac95e7d1ddad0905a2b5fa900bcb24,HLTF,Q14527,1009,456,2,160,296,0,0
66,c5e427829de9c231bddfb5f5c2e6e57b8486424a76f39c5fc391f17f1b944bb8,NOLC1,Q14978,699,454,2,149,305,0,0
67,9c52d7f528d3178e9217812f5b499c275e31f45c0f63d9e02ede37798c3a9a09,Ro60,P10155,538,443,2,162,281,0,0
68,4c4d28512cf712104d0b7374cb68ae9d3cf5d4f5d7e81c617fb0ad49332165f7,Ezh2,Q15910,746,441,2,81,360,0,0
69,cbe15fc80b0634f84d7299fa370a329e37024ef5afa603899deab1483df850ca,SFRS7,Q16629,238,438,2,148,290,0,0
70,c4825fecc4bc380e5bce3a3e3e9e00e83acbca438fbf1428a50d5b8fbd77cbb7,IF2B2,Q9Y6M1,599,429,2,190,239,0,0
71,ded6a6063fb8cd20aa0286c4dd059d4044072974d434a10e912500ab8012373f,SND1,Q7KZF4,910,429,2,188,241,0,0
72,5027cd79ae00ec6b79cc187bc13d95a3f0abbf588e16a2765db0009366148c92,BCCIP,Q9P287,314,411,2,105,306,0,0
73,fe91df3a1c93406639f608fdff6fa551ada4b216065b5ab2c1ff16ec12cbb07b,PAPD1,Q9NVV4,582,410,2,163,247,0,0
74,83fff9e7321f503d1218bfc29e477268abb7de30e56a53a10ba3cf805b2fae6b,RBM5,P52756,815,396,2,148,248,0,0
75,4c6227d55a2a3c4faac5fee8b9211f1cb694554acbcbaaf1b25886b4a4120f19,ADAR,P55265,1226,389,3,333,38,18,0
76,1156c074a7f022e2e830a4f7bf2dc9f681452791f1bc93013ba64c90bc7a4bb3,MATR3,P43243,847,340,2,104,236,0,0
77,46442fe990309a7ae743099a011abc55c1aa332d19da4659d9174d14dbe45ba4,DDX55,Q8NHQ9,600,325,2,142,183,0,0
78,8969955281528046ab7f05551e18e491a0a179c953c6c4ca051e12ee588859e5,AGO2,Q8CJG0,860,315,3,259,55,1,0
79,7936a5a915944e44b9feaf803400283988ea53c14d877e78053209f31b7c85e6,DDX6,P26196,483,310,2,118,192,0,0
80,2c713580de5fe9f38fa24b7bf5faae264a15f27aa9a5998634ba1fffd40e721b,AGGF1,Q8N302,714,304,2,123,181,0,0
81,ce37d1d34d5c2df006d805a55259214093d9a4756e425044d49c03d4d3763d59,MBNL2,Q5VZF2,373,298,2,178,120,0,0
82,f4423fc9d6fc0f2aac2e7e549ceef49a398048ef81ca86ff3b017b94f2ce340f,AKAP8L,Q9ULX6,646,285,2,112,173,0,0
83,0398f25f8a0f4a4191727351d2fd54d124020728f209a603d3dfc039e2b3299d,EIF3H,O15372,352,285,2,109,176,0,0
84,bc904fc3b8a39be8105a3bfbea7e9c2ca486f01ca4bf9684c16aefdf6a88648c,T2FA,P35269,517,280,2,99,181,0,0
85,df365308c4ad893dc5c4da54a79349e16c11f8c1194b238e0a16b4d544802073,TRA2A,Q13595,282,280,2,106,174,0,0
86,e8f3d92e8bea09a6f9c9a3a98ec4bf248bf63f82ecdafc2001e357d933e78276,XPO5,Q9HAV4,1204,270,3,91,178,0,1
87,b34ccf4be38dfe0eef956880c189a1de0e74db1de145eaf43853d62ac5f61f36,RPB7,P62487,172,269,2,102,167,0,0
88,098f61e386b868d4c07b9c7abe66aa22c3eaea7e9757060671eeb0aa43254b15,EIF2C1,Q9UL18,857,267,2,179,88,0,0
89,f1ef78254cbbf2a5fe224e585704a034eab9a15c48b7f8d6be63fbbd09491c76,DDX59,Q5T1V6,619,262,2,87,175,0,0
90,87386ac4315947d0ad1094d2d48cb0118f9ce61c722e2beda3c80bd0e5bebbbe,HNRPG,P38159,391,252,2,166,86,0,0
91,176d791e481cb2e52737cdb1c14695e77230ac61d5bc893adc543d095b381d79,TARBP2,Q15633,366,237,2,229,8,0,0
92,ada8e8a95a5a377ae14fef61f1feaf5d43044912f5be5ef8bbec1dbb55e93528,IGF2BP3,F8WD15,81,233,3,83,148,2,0
93,f049a83b779ddf5546c297be84895f932f935ffbf729bd8e755ae14bf3793f3f,SMNDC1,O75940,238,233,2,108,125,0,0
94,1a2821727315a18e0dab52c63977c30e8c4be712b2c0a966774171ce3ce5d3da,FXR2,P51116,673,227,2,124,103,0,0
95,101a982da562fc0f0e294386abf46f27d65a0dff3749f920b9aba4be08e97fdc,AGO3,Q9H9G7,860,222,2,143,79,0,0
96,cf91c5a13557af33e68dbcd405773056a6c7ea8bdd09e7af512b3d5aba49fe40,AGO4,Q9HCK5,861,222,2,143,79,0,0
97,2e710fd8bdeaaa1ae9c9639503800bd9ffbe85f13d1541945cac777d2a84a8c2,DHX30,Q7L2E3,1194,221,2,92,129,0,0
98,2f5134213a9f1129136a678bb31b772a54dda31342dca3a846fcb5707dec050b,EXOS5,Q9NQT4,235,221,2,76,145,0,0
99,9fe72522f21ef73d3cb27a82fb3d198f1c871bca25715a5049ce11c8653f9956,METAP2,P50579,478,219,2,113,106,0,0
100,3add9f2e965ee69d839b4664e7e0c3a26e92d5b49f5f5e35df9b0a732de20ce5,GEMI5,Q8TEQ6,1508,217,2,74,143,0,0
101,7d0e7015e56114175dd0b53f4d94b9b246eecd9bd9a731000ae0388774a2f5e5,LAR4B,Q92615,738,212,2,114,98,0,0
102,b51a922f8f9c876d9381e7a3cbb16d49cc75455ec648a608a5ff253a6c40e1cd,FXR1,P51114,621,209,2,128,81,0,0
103,d305201261eeab8de44d1384e02e5ccc073a4215d3736224f850741d0673fc92,YTHDF2,Q9Y5A9,579,203,2,25,178,0,0
104,59fbd9c8e5b72d29861ef54feacd32a28e0c8fe61f190e1a8211caefdfba725b,CPSF5,O43809,227,202,2,77,125,0,0
105,69706cd52d6f574832f2271bd3f5f0f142bbfa0b0078f9e7134f9efd8aea867b,FMR1,Q06787,632,198,2,100,98,0,0
106,acfa484c42cfffe53e1c5b8454e5122d33697c0110cee32c8ed105610033eeb7,EIF4G2,P78344,907,196,2,80,116,0,0
107,a9185594bc716a1ffd996c527175e11ab853ad172878377518d0090cc3275031,RFOX2,Q8BP71,449,194,2,127,67,0,0
108,93a32e58eb0310a18ce3069c4e0112de0472db029109a28b0254988aca1f7ca6,SMARCA4,P51532,1647,192,2,127,65,0,0
109,fa0de7cf1c6f91ee9a32986ff319bbba15182740be154d150a142e0933eabef4,DDX24,Q9GZR7,859,178,2,102,76,0,0
110,b009aa84d6f48652cd55ea26c2014aab873efce6c4db6062af95d12f0a1feed8,TBRG4,Q969Z0,631,176,2,70,106,0,0
111,ce2c05287395b2074a1b926a54c17cce93ccc6595614a3ab2df84602d354dae8,PUM2,Q8TB72,1066,174,3,87,85,2,0
112,505b9fff46cfd07019766c1534281c37f408532d0acc4d7698c5281af0529355,CELF4,Q9BZC1,486,173,2,84,89,0,0
113,c473e0faa4251ccbf72a4bee0834a7602ad36606e7830aa8b016f26fb37e6831,ELAV3,Q14576,367,173,2,84,89,0,0
114,08753e33f13cb41cfc75f9630a8199c09db43e23fc3c74764381d276b28fcc52,ELAVL2,Q12926,359,173,2,84,89,0,0
115,6ebcd9d1f5201ce756f83bdc960921125f57a30d267f8b2993f4652f9c93a620,FKBP4,Q02790,459,173,2,55,118,0,0
116,db904fb6bea3d836fa9c2d870a738e324e79a98b89b69b5f2492e9772b7efbb7,TARDBP,Q13148,414,172,2,117,55,0,0
117,1a37f30b16ef926b7496e470dd630772a646849fba314d39472697d9706c0dce,GRSF1,Q12849,480,170,2,68,102,0,0
118,593d0fc10dfc2f9f08cfd8f1de506651820579909446741910c1d22f687ff544,DDX54,Q8TDD1,881,155,1,155,0,0,0
119,0b3876acee6e8459d85659a285943029f82f8c1a8b02bea5384113244bea94ca,ZC3H7B,Q9UGR2,977,155,2,70,85,0,0
120,5dd636b99abf4c0d844886b0223769287340212770f0726bdd56f5460d3ce3a9,SFPQ,Q8VIJ6,699,142,2,89,53,0,0
121,7ef4247e612485b0f4347f1aabc647d1ccc3fd2a4f4ec4673c0c919548e66b9f,YTDC1,Q96MU7,727,141,2,75,66,0,0
122,abfee829de6ea9083caf1fc4a76aa7293c005e0007dd0eb64b6c0337f1e59aff,FUBP3,Q96I24,572,132,2,48,84,0,0
123,4b73d64b0465b0ed784b159cdfa81ed8eae4d6ca2d3bcfc241ede579e2daf865,GPKOW,Q92917,476,128,2,74,54,0,0
124,dd4404fe400b9d8b1c32debc5b5d145baffe92f93cd35733d08b258005b15e0a,RRP44,Q9Y2L1,958,128,2,36,92,0,0
125,8a2b16ac22a19e989dc0d263398b31ba82e3d207662e44d1ded84290e51cd727,DDX42,Q86XP3,938,126,2,68,58,0,0
126,16353fe958a32dd95bb36c2709d21f03c58ccb8f70d301f87027e47ca5c593ba,SUV3,Q8IYB8,786,125,2,55,70,0,0
127,96c80cda27a0d5ee44c69c0f0b734a5bdbe91e1bc198d0d60bbe839f6c22237b,YTHDF1,Q9BYJ9,559,121,2,66,55,0,0
128,73547a69d726efb783ce8222384bf9212100cb2606bff9ea7996c8b138f4f303,NOL12,Q9UGY1,213,118,2,55,63,0,0
129,32130eadc374cb87371ce572db572513bd5824299014e4d8e8ca45b002e42f49,ACIN1,Q9UKV3,1341,117,2,78,39,0,0
130,50aceb523187df7b1de28f4831385e42ea889e02268107d81adcd59941fce8f9,EWSR1,Q01844,656,116,3,4,109,3,0
131,f20de98a17aa850d62f3f4cd25a24a134c9eb17630b0b717a986bcc4d4ab58fe,TIAL1,E7ETC0,135,114,2,68,46,0,0
132,fcd3aa727b7a19f001e9586c8c23470be724f3b9ea20c7239ae729603a6a829d,HDAC9,Q9UKV0,1011,113,2,80,33,0,0
133,6fdec3aedc32df88d86652f68d7b24686798a1a125fa891016b19baf3e339176,Mbnl1,Q9NR56,388,113,2,46,67,0,0
134,ba72c0c6a1a31e3f5f1e58ce16962eafea82ab6acd31bf9eae35f826dba36570,HNRNPH1,P31943,449,111,2,12,99,0,0
135,d25ca147d658515cdc0d3667be00edb3e0ed37339f10343e7e59b75014661369,TCP4,P53999,127,111,2,71,40,0,0
136,0472f1c5d0009e840b47541564d7889ed2461d4f06ea85258ecc0e027c476537,YWHAG,P61981,247,108,2,47,61,0,0
137,26508091deb7bac4e9296c061b939eaadee37fc8c3d5d79a16cd1f03f9598fc7,DDX17,Q501J6,650,107,1,0,0,107,0
138,af036d61c483b1ea83fd4fd95c7fe35c01f7b5de41ad5e2e3093e5b95659a188,ELAVL1,P70372,326,107,2,60,47,0,0
139,3bbf9c3bd9646858b49be003f48da8a0020720875c14519158b5558026cf739c,PABP1,P29341,636,104,2,67,37,0,0
140,9c0d95fe1350fcb7a1509afc6bbcff123164e6bcfb659204b2d88a11f893a494,Nova1,Q9JKN6,507,102,2,16,86,0,0
141,a805e76fbddb9ac7ddc9f0a5f81b0f398d8fc5e4569fb60201416eea78d5d6e9,Rbm20,Q5T481,1227,101,2,23,0,78,0
142,1df26202316593dd4060c5e3b336a6552ebdada479d5f0084df6617158c8e36d,TAF15,A0A075B7F4,212,97,2,5,92,0,0
143,0d3c7e34381e223af2ae7e8184dfb117a57782457c24ae9450942ff22b5ea4c7,LIN28A,Q8K3Y3,209,96,2,67,29,0,0
144,e3d911c06c298fc9f688f6ba615679c0559de91b013499e3ed8b01c2a0d3abbf,ZRAB2,O95218,330,87,2,44,43,0,0
145,0ca994fdd07a1c873edcaf1fb941ed420716d261c98ed2c7405eee1b8cd8ce5e,HNRNPF,P52597,415,84,2,32,52,0,0
146,397622d5ff2988e126c7e2ccbe437afbca51eb628e975c2d18c852b58488cf2a,TTP,P22893,319,82,2,38,44,0,0
147,f38477763833ad45b72e03cb48014af398acdca635f0bf9cddaaddcbf31eb0e4,RTCB,Q9Y3I0,505,81,2,46,35,0,0
148,f54ad9cc8797393ea3dd0b5506cd8f261b8d6f37cef975489daaec7215287f5e,CPSF4,O95639,269,74,2,14,60,0,0
149,77f7198048a5553899c0174d2127b6bd97db77da1a66f745e8f05adfbad8541d,RC3H1,Q5TC82,1133,73,2,53,20,0,0
150,d427afb92250023b8ef9046acacf2809177b2ffcb0ba9c6e1f2f98be2b455599,SFRS2,Q01130,221,73,2,43,30,0,0
151,6a974ec1881e70060ff8907c1f62aa9bacc105a8689f5edfb19c25ec6a438316,SSB,P05455,408,72,2,70,2,0,0
152,8fdde7a3c026c5219e0871010cd432b558b191ac36a7af37b71eb211865fc066,Pou5f1,P20263,352,70,2,54,16,0,0
153,8b2e054eee76971aa48f4d8f9cf47661f747aba633eacceb25a35ff1c110d9d3,IGF2BP2,B3FTN5,55,65,3,54,9,2,0
154,d658a19bbc4cce7a7ecfac54d13f92d5808e76e5ff8265446bf9d450de358347,DKC1,O60832,514,64,2,33,31,0,0
155,7d07b9c9ea2c81ee27ed5b7691cf3b8debcae1f59cd8e08eb93ed2393d6b7d98,TYY1,Q00899,414,64,2,42,22,0,0
156,39f2720dd8390b0daf907500618c40e819e8b059cef3291929426ee935e91206,Ataxin-2,Q99700,1313,60,2,5,55,0,0
157,5527513454aaed963795299a876802e551240f708eadf060fb6565b252157504,ALKBH5,K7ER58,53,59,2,42,17,0,0
158,fc75f7cb2ed941132d79a51facf7221bbbd9258007a7f94092b893d6d67ece64,TIA1,P52912,386,59,2,39,20,0,0
159,a45a76a001aa818c970bb0e6c58f5eca443449e062fd33d8271a833be042dfcb,LIN28,Q9H9Z2,209,54,2,0,0,52,2
160,1e889d9db72860b42f1fc14c9e85e180f58ed98c84ea1aefbd714eb3519d329a,CPSF1,Q10570,1443,51,2,15,36,0,0
161,b6326109a9dc44502bb0506188b5790a4a6673179430ed62006d595daa05936c,hLARP7,Q4G0J3,582,51,2,27,24,0,0
162,59c41a6d039baca066f5751d5d7e0789a011cef987e5c1c07bd8fd307e074a2d,SYAC,P49588,968,46,2,35,11,0,0
163,2a536d9bb8c18c590b8c2cc99bf26360e3ddeb9679d4711267e2234d8d354108,RPS11,P62280,158,41,2,26,15,0,0
164,0a59d788503e05b0d9e28742df1dfc327694cd30eea8e9ef40f9bee357ea6852,CPSF3,Q9UKF6,684,39,3,9,28,0,2
165,8dd0eaafb1588d422d6113363e4c679f879a6a704fe04dc44b98b1636a19ce2b,Ptbp2,Q91Z31,531,39,2,18,21,0,0
166,4f262363ce32c00cb3ebdb0a9895f255e59d51e26b7d4141cebd0e49c7b4c1cf,AGO4,Q8CJF8,861,36,2,28,8,0,0
167,9d9d4a3ed5d9982423e8f3260b402ae9636f0026ca0b1fe65ec5804bc4746830,RBM39,Q14498,530,34,2,12,22,0,0
168,ebda248e6578cee194c0233919cd8045a87e49b67e516949d3642b887d184a1e,KPYM,P52480,531,31,2,27,4,0,0
169,5e7fe8420d821b439b7c0323e70a046980c0264ac0b57440fdc6e6b8d8f969db,NPM1,P06748,294,30,2,22,8,0,0
170,ab64ec150b77c414768a59996cb8113007eb8a4ff28f0a2b2ed10fa1bed5a686,VIGLN,Q8VDJ3,1268,30,2,23,7,0,0
171,7f21c89f92a6502f356d83204513fb43fd94e59f6e4ba9bb315c7784e17cc062,C17ORF85,Q53F19,620,29,2,10,19,0,0
172,4d6d31375209a4a4bc0e68935f83c625e13e62c95f4c6d39e2da39e6810deb75,EWSR1,B0QYK0,618,29,2,13,16,0,0
173,e183c99506ee210412557db9043079c7eb22e7d47a98a40852fdfca4ccb60c39,DAZL,Q64368,298,28,2,14,14,0,0
174,73b4b6d617c8a869cd69984dd17da6fcac4f459d6fc74c4b39104414345bb863,PUS1,Q9Y606,427,28,2,19,9,0,0
175,a4721eaaba2b39cb26e99f1e8f2c57530677fc35eb92f75dc96be80d609a72f0,FMR1,P35922,614,26,2,17,9,0,0
176,98ff5262a66b0fb03a8986d64ca6629dadc85a2a83ae862f3f43d36f17053fc9,RBM10,Q99KG3,930,26,2,18,8,0,0
177,0eabb53a2be075856787466632240dda0083782ae9ded4d5ea8ae890e8d1dc60,GNL3,Q9BVP2,549,24,2,19,5,0,0
178,2442a1f4027d5a6cde796a71ea633f7819602a2519852e5bfe98db999ef2b6cf,RBPMS,Q93062,196,24,3,5,3,16,0
179,a1fab640dcd6be6fa94464481d978e3b93a64c27b39de43c46a6e528c47341a6,SBDS,Q9Y3A5,250,24,2,19,5,0,0
180,637a7e6f751b0314117389f474d8311a64f17a63ff83af5f11dd844fef880dd6,TAF15,Q92804,592,23,1,0,23,0,0
181,a2a7b1b56a5a06b0b89d91f032352c7c916c73f6b561a5e753758b959110241d,DHX36,Q9H2U1,1008,22,1,22,0,0,0
182,2499595259fe846326edcec2c21b7dc3585c72e3573f1ed320bcc4a9af0c8bad,ALYREF,Q86V81,257,20,2,3,0,17,0
183,7fd695051f4714fd112549120204664c26e64d7031b27b5ac19b5bcde843d5b9,RNMT,O43148,476,19,2,7,12,0,0
184,5b78b757fbbde46885798ec4209a441f218c68136029bb129dfa2af58fc9622b,SAKI,Q08J23,767,19,2,17,2,0,0
185,0d64fb6a8a66f0ad42b6fabee8bb1516390cba9e52c9a9f8944c1db406d287b8,SOX2,P48431,317,18,1,18,0,0,0
186,5c08f578a275fa7043a4213697c791d26d5c0172c6df77c4aac3a1a62f19495c,Coilin,P38432,576,17,1,17,0,0,0
187,90c481f7eca19b89ffaf215542bdc06e6f159a751e1038a1a1f883ade31f4eba,-,D3YVV7,492,15,2,9,6,0,0
188,f22dbb26260f83b2889d9bfeca03850b19d5df1e699e74d59571d5c53b68fc5f,PSPC1,Q8R326,523,15,1,15,0,0,0
189,b377dc72eeefcb7361ed7b5d9f08a22f2ac3973874c0211e74f18ecc7cb054c5,6QCS_chain_B,6QCS:B,772,14,1,0,0,0,14
190,4d370c03e7e9411e6cc12a970fb1034fef926461b0a9fba0a7626257e1368bb2,SERBP1,Q8NC51,408,12,2,10,2,0,0
191,7d0944b57469749665e144c40a5b53c0054cde74d4f5de3975c40b4dc585c6c0,5MSG_chain_C,5MSG:C,798,11,1,0,0,0,11
192,db95ae7f05787a104b78754186041713adde01c2c5253d6f261918417a424168,8VMA_chain_B,8VMA:B,215,11,1,0,0,0,11
193,1ce8e1bf7ff1d23dc836a55f182a537add795e38990cf1f7f870e12b8b992b35,CPSF2,Q9P2I0,782,10,3,3,5,0,2
194,a2ad3f52daa5740755ca14f0a5a1c060d28a58645d39ca59b2f1779ad7b3ff92,EED,Q921E6,441,10,2,1,9,0,0
195,017631c640a154b015945671ae73c48b36df83b305988ce68d754a4a6b1d494b,MSI2H,Q920Q6,346,10,2,7,3,0,0
196,85980b53112b1c14134cc4eaae21668ec7b706c6ebcfdeff5df2c37848948de4,PTB,Q9UKA9,531,10,1,10,0,0,0
